genres,original_title,overview,release_date,popularity,poster_path,runtime,directors,title_y
"Comedy, Drama, Romance",Chocolat,"A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river, the prejudice of the Mayor leads to a crisis.",2000-12-22,16.126,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/jPNmQq23eNbKFVPZnY5Kxc63MvW.jpg,121,Lasse Hallström,Le chocolat
"Comedy, Romance",French Kiss,"After her fiancee admits to infidelity while on a business trip in France, a woman attempts to get her lover back and marry him by traveling to Paris despite her crippling fear of flying.  On the way she unwittingly smuggles something of value that has a charming crook chasing her across France as she chases after her future husband.",1995-05-05,9.441,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/q5hXdMfxSwhuOmWmkTJmm5qVijc.jpg,111,Lawrence Kasdan,French Kiss
"Drama, Crime",Things to Do in Denver When You're Dead,Five different criminals face imminent death after botching a job quite badly.,1995-12-01,9.604,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/oPp6Gbrasox66WyMvPS0k8OakQf.jpg,116,Gary Fleder,Dernières heures à Denver
Drama,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",1995-05-31,16.427,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg,98,Mathieu Kassovitz,"Droits de cité, La haine"
"Adventure, Comedy, Drama",The Life Aquatic with Steve Zissou,"Renowned oceanographer Steve Zissou has sworn vengeance upon the rare shark that devoured a member of his crew. In addition to his regular team, he is joined on his boat by Ned, a man who believes Zissou to be his father, and Jane, a journalist pregnant by a married man. They travel the sea, all too often running into pirates and, perhaps more traumatically, various figures from Zissou's past, including his estranged wife, Eleanor.",2004-12-10,15.55,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qZoFLNBC78jzboWeDH6Ha0qavF2.jpg,119,Wes Anderson,La Vie aquatique
"Action, Adventure, Science Fiction, Thriller",The Day After Tomorrow,"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.",2004-05-26,23.441,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/kNKy8eJemg6sCAMBgh4xrD0lleX.jpg,124,Roland Emmerich,Le jour d'après
"Mystery, Drama, Thriller",Caché,A married couple is terrorized by a series of videotapes planted on their front porch.,2005-10-05,7.472,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/fnuAk6Or34FLYQDnh7Et51UvSXK.jpg,117,Michael Haneke,Caché
"Comedy, Drama, Fantasy",Being John Malkovich,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",1999-10-29,15.558,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/xVSvIwRNzwXSs0CLefiiG6A96m4.jpg,113,Spike Jonze,Dans la peau de John Malkovich
"Action, Crime, Drama, Thriller",Killing Zoe,"Zed is an American vault-cracker who travels to Paris to meet up with his old friend Eric. Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",1993-10-01,8.549,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/A1cZkolZes5KpK09j2betl8Fhiu.jpg,96,Roger Avary,Killing Zoe
"Comedy, Romance, Drama",Love Actually,Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.,2003-09-07,19.095,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,135,Richard Curtis,Love Actually
"Romance, Drama",Je ne suis pas là pour être aimé,"Jean-Claude Delsart, a 50 years-old bailiff, with his worn-out smile and heart, abandoned a long time ago the idea that life could give him pleasures. Until the day, he dares to push the doors of a tango lesson...",2005-10-12,2.128,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/9nlF36ymCFTkss54lotmSSEmIaQ.jpg,93,Stéphane Brizé,Je ne suis pas là pour être aimé
"Fantasy, Action, Adventure",Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,57.637,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,139,Sam Raimi,Spider-Man 3
Drama,À ma soeur!,"Anaïs is twelve and bears the weight of the world on her shoulders. She watches her older sister, Elena, whom she both loves and hates. Elena is fifteen and devilishly beautiful. Neither more futile, nor more stupid than her younger sister, she cannot understand that she is merely an object of desire. And, as such, she can only be taken. Or had. Indeed, this is the subject: a girl's loss of virginity. And, that summer, it opens a door to tragedy.",2001-03-07,11.671,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/afzbY1h7huuxlITigPfcyQSkqLs.jpg,86,Catherine Breillat,À ma soeur!
"Thriller, Mystery",The Da Vinci Code,"A murder in Paris’ Louvre Museum and cryptic clues in some of Leonardo da Vinci’s most famous paintings lead to the discovery of a religious mystery. For 2,000 years a secret society closely guards information that — should it come to light — could rock the very foundations of Christianity.",2006-05-17,35.965,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/j9lsWwnIDN2ZNtqZcE1x2o4ZKyI.jpg,149,Ron Howard,Da Vinci Code
"Comedy, Drama",The Terminal,"Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living – and courts romance with a beautiful flight attendant.",2004-06-17,23.28,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/pXNomqKcKXAQbuWxehb2N3XFKfn.jpg,128,Steven Spielberg,Le terminal
"Adventure, Action, Thriller, Science Fiction",The Matrix Revolutions,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,2003-11-05,26.049,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/qEWiBXJGXK28jGBAm8oFKKTB0WD.jpg,129,"Lana Wachowski, Lilly Wachowski",Matrix Revolutions
"Drama, Action, History, Thriller",Munich,"During the 1972 Olympic Games in Munich, eleven Israeli athletes are taken hostage and murdered by a Palestinian terrorist group known as Black September. In retaliation, the Israeli government recruits a group of Mossad agents to track down and execute those responsible for the attack.",2005-12-23,16.825,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/iUekaw96QLInZpsNwRTlRKrZgwm.jpg,164,Steven Spielberg,Munich
"Mystery, Thriller, Horror",The Ninth Gate,"An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom  of Shadows' brings an unscrupulous book dealer deep into a world of murder, double-dealing and satanic worship.",1999-08-25,18.495,https://image.tmdb.org/t/p/w500https://image.tmdb.org/t/p/w500/iFDtmA8Bg9zE4NcsjcmGfqFN01H.jpg,133,Roman Polanski,La neuvième porte
